fund_slug,description
shenzhen-capital,Shenzhen Capital Group | Type: Venture | Tier: 3 | Based in China
brand-capital,Brand Capital | Type: Venture | Tier: 3 | Based in India
tokensoft,Tokensoft | Type: Corporation | Tier: 3 | Based in United States
hash-global,Hash Global | Type: Venture | Tier: 4 | Based in Hong Kong
oak-grove-ventures,Oak Grove Ventures | Type: Venture | Tier: 4 | Based in Singapore
promontory-technologies,Promontory Technologies | Type: Hedge Fund | Tier: 4 | Location: Not specified
hivemind-capital-partners,Hivemind Capital Partners | Type: Venture | Tier: 4 | Based in United States
iron-key-capital,Iron Key Capital | Type: Venture | Tier: 4 | Based in United States
selinicapital,Selini Capital | Type: Venture | Tier: 4 | Based in United States
bockchain-builders-fund,Blockchain Builders Fund | Type: Venture | Tier: 4 | Location: Not specified
finewill-capital,FineWill Capital | Type: Venture | Tier: 4 | Based in Singapore
archax,Archax | Type: Exchange | Tier: 4 | Based in United Kingdom
echo,echo | Type: Venture | Tier: 4 | Location: Not specified
v3v-ventures,V3V Ventures | Type: Venture | Tier: 4 | Location: Not specified
colosseum,Colosseum | Type: Venture | Tier: 4 | Location: Not specified
levitate-labs,Levitate Labs | Type: Venture | Tier: 4 | Location: Not specified
stix,STIX | Type: Corporation | Tier: 4 | Location: Not specified
blue7,Blue7 | Type: Venture | Tier: 4 | Location: Not specified
tandem,Tandem (by Offchain Labs) | Type: Venture | Tier: 4 | Location: Not specified
luganodes,Luganodes | Type: Corporation | Tier: 4 | Location: Not specified
mythos-venture-partners,Mythos Venture Partners | Type: Venture | Tier: 4 | Location: Not specified
credibly-neutral,Credibly Neutral | Type: Venture | Tier: 4 | Location: Not specified
tido-capital,Tido Capital | Type: Venture | Tier: 4 | Location: Not specified
Gam3Girl,Gam3Girl | Type: Venture | Tier: 4 | Location: Not specified
copilot-venture-studio,Copilot Venture Studio | Type: Venture | Tier: 4 | Location: Not specified
web3-vision-fund,Web3 Vision Fund | Type: Venture | Tier: 4 | Location: Not specified
latitude,Latitude | Type: Venture | Tier: 4 | Based in United States
kukita,Kukita | Type: Venture | Tier: 4 | Based in Japan
bochsler-finance,Bochsler Finance | Type: Venture | Tier: 4 | Based in Switzerland
aument-capital,Aument Capital | Type: Venture | Tier: 4 | Location: Not specified
b7-capital,B7 Capital | Type: Venture | Tier: 4 | Based in Canada
grand-prix-capital,Grand Prix Capital | Type: Venture | Tier: 4 | Based in Australia
scalare-partners,Scalare Partners | Type: Venture | Tier: 4 | Based in Australia
wholesale-investor,Wholesale Investor | Type: Venture | Tier: 4 | Based in Australia
karatage,Karatage | Type: Venture | Tier: 4 | Based in United Kingdom
rubik-ventures,Rubik Ventures | Type: Venture | Tier: 4 | Based in Mexico
arete-capital,Arete Capital | Type: Venture | Tier: 4 | Location: Not specified
ltp-liquidity-tech,LTP | LiquidityTech | Type: Venture | Tier: 4 | Location: Not specified
salt,SALT | Type: Venture | Tier: 4 | Location: Not specified
blockdaemon-ventures,Blockdaemon | Type: Venture | Tier: 4 | Based in United States
xdc-foundation,XDC Foundation | Type: Venture | Tier: 4 | Location: Not specified
cerca-partners,Cerca Partners | Type: Venture | Tier: 4 | Based in Israel
dfs-lab,DFS Lab | Type: Venture | Tier: 4 | Based in United States
haymaker-ventures,Haymaker Ventures | Type: Venture | Tier: 4 | Location: Not specified
the-venture-dept,The Venture Dept | Type: Venture | Tier: 4 | Location: Not specified
topology-ventures,Topology Ventures | Type: Venture | Tier: 4 | Location: Not specified
flowdesk,Flowdesk | Type: Corporation | Tier: 4 | Based in France
aegis-ventures,Aegis Ventures | Type: Venture | Tier: 4 | Location: Not specified
comfy-capital,Comfy Capital | Type: Venture | Tier: 4 | Location: Not specified
tpc-ventures,TPC | Type: Venture | Tier: 4 | Location: Not specified
trammell-venture-partners,TVP (Trammell Venture Partners) | Type: Venture | Tier: 4 | Based in United States
gd1,GD1 | Type: Venture | Tier: 4 | Based in New Zealand
hf0,HF0 | Type: Venture | Tier: 4 | Location: Not specified
spencer-ventures,Spencer Ventures | Type: Venture | Tier: 4 | Location: Not specified
sentinel-global,Sentinel Global | Type: Venture | Tier: 4 | Based in United States
blockchain-founders-capital,Blockchain Founders Capital | Type: Venture | Tier: 4 | Based in Germany
elevator-ventures,Elevator Ventures | Type: Venture | Tier: 4 | Based in Austria
becker-ventures,Becker Ventures | Type: Venture | Tier: 4 | Location: Not specified
dead-king-society,Dead King Society | Type: Venture | Tier: 4 | Location: Not specified
awakening-ventures,Awakening Ventures | Type: Venture | Tier: 4 | Based in Hong Kong
web3Labs,Web3Labs | Type: Venture | Tier: 4 | Location: Not specified
ab-dao,AB DAO | Type: DAO | Tier: 4 | Based in Singapore
obelisk-capital,Obelisk Capital | Type: Venture | Tier: 4 | Location: Not specified
seed-club,Seed Club | Type: Venture | Tier: 4 | Location: Not specified
threedao,ThreeDAO | Type: DAO | Tier: 4 | Based in Hong Kong
ankaa,Ankaa | Type: Incubator | Tier: 4 | Location: Not specified
uphold,Uphold | Type: Corporation | Tier: 4 | Based in United States
kbw-ventures,KBW Ventures | Type: Venture | Tier: 4 | Based in UAE
sentor-investments,Sentor Investments | Type: Venture | Tier: 4 | Based in Australia
oasis-labs,Oasis Labs | Type: Venture | Tier: 4 | Location: Not specified
blocklike,Blocklike | Type: Venture | Tier: 4 | Based in China
chainfir-capital,Chainfir Capital | Type: Venture | Tier: 4 | Location: Not specified
echo3,Echo3 | Type: Incubator | Tier: 4 | Location: Not specified
greenwood-global-capital,Greenwood Global Capital | Type: Venture | Tier: 4 | Based in United Kingdom
hermeneutic-investments,Hermeneutic Investments | Type: Venture | Tier: 4 | Based in Taiwan
hoskinson-family-office,Hoskinson Family Office | Type: Venture | Tier: 4 | Based in United States
starbase,Starbase | Type: Venture | Tier: 4 | Location: Not specified
danish-chaudhry,Danish Chaudhry | Type: Angel Investor | Tier: 4 | Based in United Kingdom
sui-foundation,Sui Foundation | Type: Venture | Tier: 4 | Location: Not specified
defisquared,DefiSquared | Type: Venture | Tier: 4 | Location: Not specified
dext-force,DEXT Force Ventures | Type: Venture | Tier: 4 | Location: Not specified
lightshift-capital,Lightshift Capital | Type: Venture | Tier: 4 | Based in Portugal
evolution-venture,Evolution VC | Type: Venture | Tier: 4 | Based in United States
opportuna,Opportuna | Type: Venture | Tier: 4 | Location: Not specified
quantumlight,QuantumLight | Type: Corporation | Tier: 4 | Based in United Kingdom
keisuke-honda-xksk,X&KSK | Type: Venture | Tier: 4 | Based in Japan
metalpha,Metalpha | Type: Corporation | Tier: 4 | Location: Not specified
d11-labs,D11 Labs | Type: Venture | Tier: 4 | Location: Not specified
cadenza-ventures,Cadenza Ventures | Type: Venture | Tier: 4 | Based in United States
side-door-ventures,Side Door Ventures | Type: Venture | Tier: 4 | Based in United States
blockwall,Blockwall | Type: Venture | Tier: 4 | Based in Germany
scb-limited,SCB Limited | Type: Venture | Tier: 4 | Location: Not specified
mentat-group,Mentat Group | Type: Venture | Tier: 4 | Location: Not specified
bolts-capital,Bolts Capital | Type: Venture | Tier: 4 | Location: Not specified
crucible-capital,Crucible Capital | Type: Venture | Tier: 4 | Based in United States
frictionless,Frictionless Capital | Type: Venture | Tier: 4 | Location: Not specified
metamatic,Metamatic | Type: Venture | Tier: 4 | Location: Not specified
draper-associates,Draper Associates | Type: Venture | Tier: 2 | Based in United States
pg,PG | Type: Incubator | Tier: 4 | Location: Not specified
necto-labs,Necto Labs | Type: Venture | Tier: 4 | Location: Not specified
q42,Q42 | Type: Venture | Tier: 4 | Location: Not specified
web3port,Web3Port | Type: Corporation | Tier: 4 | Location: Not specified
taisu-ventures,Taisu Ventures | Type: Venture | Tier: 4 | Location: Not specified
mn-capital,MN Capital | Type: Venture | Tier: 4 | Location: Not specified
giesen-family-office,Dr. Giesen Family Office | Type: Venture | Tier: 4 | Based in Germany
prosper-ventures,Prosper Ventures | Type: Venture | Tier: 4 | Location: Not specified
tykhebv,Tykhe Block Ventures | Type: Venture | Tier: 4 | Based in United States
illuminati-capital,Illuminati Capital | Type: Venture | Tier: 4 | Based in UAE
web3link,Web3link | Type: Venture | Tier: 4 | Location: Not specified
pravega-ventures,Pravega Ventures | Type: Venture | Tier: 4 | Based in India
lf-labs,LF Labs | Type: Venture | Tier: 4 | Based in United States
sixth-street,Sixth Street | Type: Venture | Tier: 4 | Location: Not specified
supermoon,Supermoon Ventures | Type: Venture | Tier: 4 | Based in United States
aza-ventures,AZA Ventures | Type: Venture | Tier: 4 | Location: Not specified
connectico-capital,Connectico Capital | Type: Venture | Tier: 4 | Location: Not specified
maxx-capital,Maxx Capital | Type: Venture | Tier: 4 | Location: Not specified
anti-capital,Anti Capital | Type: Venture | Tier: 4 | Location: Not specified
arcanum-ventures,Arcanum Ventures | Type: Venture | Tier: 4 | Location: Not specified
zkvalidator,ZKV | Type: Corporation | Tier: 4 | Location: Not specified
3rd-street-capital,3rd Street Capital | Type: Venture | Tier: 4 | Based in UAE
gal-vc,Galaxy VC | Type: Venture | Tier: 4 | Location: Not specified
memetic-digital,Memetic Digital | Type: Venture | Tier: 4 | Location: Not specified
pest,P.E.S.T | Type: DAO | Tier: 4 | Location: Not specified
profluent-ventures,Profluent Ventures | Type: Venture | Tier: 4 | Location: Not specified
syndika,Syndika | Type: Venture | Tier: 4 | Location: Not specified
vanta,VANTA | Type: DAO | Tier: 4 | Location: Not specified
white-star-capital,White Star Capital | Type: Venture | Tier: 4 | Based in United States
the-hashgraph-association,The Hashgraph Group | Type: Corporation | Tier: 4 | Based in Switzerland
sonic-boom-ventures,Sonic Boom Ventures | Type: Venture | Tier: 4 | Location: Not specified
collective-ventures,Collective Ventures | Type: Venture | Tier: 4 | Based in Germany
ficus-capital,Ficus Capital | Type: Venture | Tier: 4 | Location: Not specified
mit-invest,MIT Investment Management Company | Type: Venture | Tier: 4 | Location: Not specified
atkaio,Atka | Type: Incubator | Tier: 4 | Based in France
tane,Tane Labs | Type: Venture | Tier: 4 | Based in UAE
