fund_slug,description
hash-key-capital,Team member: Deng Chao | Available links: LinkedIn
hash-key-capital,Team member: Xiao Feng | Roles: Investment Committee Member | Available links: LinkedIn
hash-key-capital,"Team member: Michel Lee | Roles: Investment Committee Member | Available links: LinkedIn, Twitter"
hash-key-capital,Team member: Vincent Lau | Roles: Operating Partner | Available links: LinkedIn
hash-key-capital,Team member: Jupiter Zheng Jialiang | Roles: Partner | Available links: LinkedIn
hash-key-capital,Team member: Sunny He | Roles: Partner | Available links: LinkedIn
hash-key-capital,Team member: Vivien Wong | Roles: Partner | Available links: LinkedIn
hash-key-capital,Team member: Xiao Xiao | Roles: Partner | Available links: LinkedIn
hash-key-capital,"Team member: Arnav Pagidyala | Roles: Principal | Available links: LinkedIn, Twitter, Website"
hash-key-capital,Team member: Chun Hou Kok | Available links: LinkedIn
hash-key-capital,Team member: Junbo Y | Roles: Investment Professional | Available links: LinkedIn
hash-key-capital,"Team member: Stanley Wu | Roles: Investment Professional | Available links: LinkedIn, Telegram"
hash-key-capital,"Team member: Li Gong | Roles: Venture Partner | Available links: LinkedIn, Twitter"
hash-key-capital,Team member: Matthew Le Merle | Roles: Advisory Board Director | Available links: LinkedIn
hash-key-capital,Team member: Kevin M. Goldstein | Roles: Senior Advisor | Available links: LinkedIn
hash-key-capital,Team member: Yong Hak Huh | Roles: Advisor | Available links: LinkedIn
coinbase-ventures,"Team member: Brian Armstrong | Available links: LinkedIn, Twitter, Website"
coinbase-ventures,"Team member: Emilie Choi | Available links: LinkedIn, Twitter"
coinbase-ventures,"Team member: Shan Aggarwal | Roles: VP of Corp & BizDev | Available links: LinkedIn, Twitter"
coinbase-ventures,"Team member: Hoolie Tejwani | Roles: Director | Available links: LinkedIn, Twitter"
coinbase-ventures,"Team member: Aklil Ibssa | Roles: Director | Available links: LinkedIn, Twitter"
coinbase-ventures,"Team member: Jonathan King | Roles: Principal Investor | Available links: LinkedIn, Twitter"
delphi-ventures,"Team member: Yan Liberman | Roles: Managing Partner | Available links: LinkedIn, Twitter"
delphi-ventures,"Team member: Tom Shaughnessy | Roles: Founding Partner | Available links: LinkedIn, Twitter"
delphi-ventures,"Team member: Piers Kicks | Roles: Founding Partner | Available links: LinkedIn, Twitter"
delphi-ventures,"Team member: Drew Henderson | Available links: LinkedIn, Twitter"
