fund_slug,description
avaloq,"Date: Sep 16, 2021 | Company: Coinfirm | Amount: $8,000,000 | Stage: Series A | Category: Blockchain Service"
avaloq,"Date: Jul 14, 2020 | Company: METACO | Amount: $17,000,000 | Stage: Series A | Category: Blockchain Service"
avaloq,"Date: Jul 07, 2021 | Company: Blockpit | Amount: $10,000,000 | Stage: Series A | Category: Blockchain Service"
avaloq,"Date: Apr 27, 2018 | Company: METACO | Stage: Undisclosed | Category: Blockchain Service"
kns-group,"Date: Sep 16, 2021 | Company: Domination Finance | Amount: $3,200,000 | Stage: Seed | Category: DeFi"
kns-group,"Date: Apr 09, 2021 | Company: SafeStake | Amount: $5,000,000 | Stage: Strategic | Category: DeFi"
choco-up,"Date: Sep 16, 2021 | Company: BuzzAR | Amount: $630,000 | Stage: Debt Financing | Category: Blockchain Service"
heat-capital,"Date: Sep 15, 2021 | Company: Idexo Token | Amount: $2,500,000 | Stage: Undisclosed | Category: Blockchain Service"
heat-capital,"Date: Jun 03, 2021 | Company: Credmark | Amount: $5,500,000 | Stage: Undisclosed | Category: Blockchain Service"
okex,"Date: Sep 15, 2021 | Company: Aurora | Stage: Strategic | Category: Chain"
coinf,"Date: Sep 14, 2021 | Company: Heroes & Empires | Amount: $1,500,000 | Stage: Strategic | Category: GameFi"
go-ventures,"Date: Sep 13, 2021 | Company: Pluang | Amount: $35,000,000 | Stage: Series B | Category: CeFi"
go-ventures,"Date: Sep 11, 2019 | Company: Pluang | Amount: $3,000,000 | Stage: Series A | Category: CeFi"
go-ventures,"Date: Mar 22, 2021 | Company: Pluang | Amount: $20,000,000 | Stage: Pre-Series B | Category: CeFi"
cardstarter,"Date: Sep 07, 2021 | Company: Matrix Labs | Amount: $1,250,000 | Stage: Private Token Sale | Category: DeFi"
psquare-capital,"Date: Sep 05, 2021 | Company: Snook | Amount: $2,400,000 | Stage: Seed | Category: GameFi"
psquare-capital,"Date: May 17, 2021 | Company: Knit Finance | Amount: $1,000,000 | Stage: Private Token Sale | Category: DeFi"
psquare-capital,"Date: Jun 24, 2021 | Company: XP.NETWORK | Amount: $4,500,000 | Stage: Seed | Category: NFT"
psquare-capital,"Date: Feb 27, 2021 | Company: Playcent | Amount: $1,000,000 | Stage: Private Token Sale | Category: Blockchain Service"
psquare-capital,"Date: Feb 23, 2021 | Company: Kylin Network | Amount: $2,700,000 | Stage: Strategic | Category: Blockchain Infrastructure"
ar-ventures,"Date: Sep 01, 2021 | Company: Nakamoto Games | Stage: Strategic | Category: GameFi"
surge,"Date: Aug 17, 2021 | Company: Klub | Amount: $20,000,000 | Stage: Seed | Category: Blockchain Service"
surge,"Date: Apr 04, 2020 | Company: Nuo | Amount: $3,000,000 | Stage: Seed | Category: DeFi"
tokenomik,"Date: May 19, 2021 | Company: Project SEED | Stage: Strategic | Category: GameFi"
tokenomik,"Date: Aug 13, 2021 | Company: ReSource Protocol | Amount: $1,700,997.86 | Stage: Seed | Category: DeFi"
centrality,"Date: Sep 11, 2020 | Company: BarnBridge | Amount: $1,000,000 | Stage: Seed | Category: DeFi"
centrality,"Date: May 25, 2021 | Company: Evertas | Amount: $5,800,000 | Stage: Seed | Category: Blockchain Service"
centrality,"Date: Jun 17, 2021 | Company: Streams | Amount: $1,000,000 | Stage: Pre Seed | Category: DeFi"
centrality,"Date: Aug 03, 2021 | Company: ZenLedger | Amount: $6,000,000 | Stage: Series A | Category: Blockchain Service"
coind,"Date: May 16, 2018 | Company: Compound  | Amount: $8,200,000 | Stage: Seed | Category: DeFi"
coind,"Date: Aug 03, 2021 | Company: ZenLedger | Amount: $6,000,000 | Stage: Series A | Category: Blockchain Service"
bbtv-holdings,"Date: Jul 12, 2021 | Company: Nifty's | Amount: $10,000,000 | Stage: Seed | Category: NFT"
development-bank-of-wales,"Date: Jul 14, 2020 | Company: Coincover | Amount: $1,700,000 | Stage: Seed | Category: CeFi"
development-bank-of-wales,"Date: Jul 08, 2021 | Company: Coincover | Amount: $9,200,000 | Stage: Series A | Category: CeFi"
development-bank-of-wales,"Date: Dec 12, 2018 | Company: Coincover | Amount: $960,000 | Stage: Pre Seed | Category: CeFi"
trustdao-capital,"Date: May 24, 2021 | Company: Mintlayer | Amount: $5,200,000 | Stage: Seed | Category: Blockchain Infrastructure"
trustdao-capital,"Date: Jun 29, 2021 | Company: IAGON | Amount: $3,400,000 | Stage: Seed | Category: Blockchain Service"
trustdao-capital,"Date: Jun 03, 2021 | Company: DeFi11 | Amount: $3,500,000 | Stage: Seed | Category: GameFi"
blocksync-ventures,"Date: Jun 24, 2021 | Company: XP.NETWORK | Amount: $4,500,000 | Stage: Seed | Category: NFT"
blocksync-ventures,"Date: Jun 17, 2021 | Company: Unreal Finance | Amount: $2,700,000 | Stage: Seed | Category: DeFi"
blocksync-ventures,"Date: Jun 16, 2021 | Company: Trace Network Labs | Amount: $1,600,000 | Stage: Seed | Category: Blockchain Service"
blocksync-ventures,"Date: Jun 02, 2021 | Company: Chronicle | Amount: $3,200,000 | Stage: Seed | Category: NFT"
blocksync-ventures,"Date: Jun 02, 2021 | Company: 2crazyNFT | Amount: $1,700,000 | Stage: Seed | Category: NFT"
national-science-foundation,"Date: Jun 15, 2021 | Company: Taekion | Amount: $1,000,000 | Stage: Undisclosed | Category: Blockchain Service"
national-science-foundation,"Date: Jul 28, 2019 | Company: NXM LABS | Amount: $223,675 | Stage: Grant | Category: Social"
national-science-foundation,"Date: Jan 06, 2020 | Company: Taekion | Amount: $224,646 | Stage: Undisclosed | Category: Blockchain Service"
national-science-foundation,"Date: Feb 08, 2019 | Company: Autonomys Network | Stage: Undisclosed | Category: Chain"
nem-ventures,"Date: Mar 13, 2018 | Company: LOCALLY | Amount: $1,000,000 | Stage: Undisclosed | Category: Blockchain Service"
nem-ventures,"Date: Jun 09, 2021 | Company: Hummingbot | Amount: $8,000,000 | Stage: Series A | Category: CeFi"
nem-ventures,"Date: Jul 22, 2020 | Company: SharpShark | Stage: Seed | Category: Blockchain Service"
nem-ventures,"Date: Jan 07, 2021 | Company: DAO Maker | Stage: Strategic | Category: DeFi"
bitnomial,"Date: Jun 09, 2021 | Company: Luxor | Amount: $5,000,000 | Stage: Series A | Category: Blockchain Service"
bitnomial,"Date: Feb 16, 2021 | Company: Luxor | Amount: $725,000 | Stage: Pre Seed | Category: Blockchain Service"
blockware-solutions,"Date: Jun 09, 2021 | Company: Luxor | Amount: $5,000,000 | Stage: Series A | Category: Blockchain Service"
stone-ridge-asset-management,"Date: Mar 08, 2021 | Company: NYDIG | Stage: Undisclosed | Category: Blockchain Service"
stone-ridge-asset-management,"Date: Jun 07, 2021 | Company: Unchained Capital | Amount: $25,000,000 | Stage: Series A | Category: CeFi"
stone-ridge-asset-management,"Date: Apr 21, 2021 | Company: Alto | Amount: $17,000,000 | Stage: Series A | Category: CeFi"
stronghold-resource-partners,"Date: Mar 02, 2021 | Company: Unchained Capital | Amount: $5,500,000 | Stage: Seed | Category: CeFi"
